adult,backdrop_path,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,softcore,status,tagline,title,video,vote_average,vote_count,certification
False,/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,94000000,http://www.lordoftherings.net,122,tt0167260,en,The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",32.8614,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2003-12-17,1118888979,201,False,Released,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,False,8.5,26436,PG-13
False,/bYkgJUGlkDrKzCrN6Jrd1qVx9aB.jpg,0,,20222,tt0363292,es,Sexo con amor,"In Santiago, Chile, the schoolteacher Luisa proposes a debate about sex with the parents of her students with the intention of giving classes about sex education to the youngsters.",17.8999,/9Unz4SnlkXg0OAxgiLKZAfu096c.jpg,2003-03-27,0,108,False,Released,,Sex with Love,False,6.533,242,NR
False,/uRNgkJSkNBFbbn9fPsEjDIy8Sh3.jpg,140000000,https://movies.disney.com/pirates-of-the-caribbean-the-curse-of-the-black-pearl,22,tt0325980,en,Pirates of the Caribbean: The Curse of the Black Pearl,"When wily pirate Captain Barbossa seizes Jack Sparrow’s beloved ship, the Black Pearl, and kidnaps the governor’s daughter, Elizabeth Swann, blacksmith Will Turner reluctantly teams up with the unpredictable pirate Jack to rescue her—only to uncover a terrifying curse that turns Barbossa’s crew into the undead.",17.5553,/kvDwL2gTf6yxujbsWbsGQB3Z9Wa.jpg,2003-07-09,655011224,143,False,Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,False,7.821,22140,PG-13
False,/eCynaAOgYYiw5yN5lBwz3IxqvaW.jpg,94000000,http://movies.disney.com/finding-nemo,12,tt0266543,en,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",17.3605,/5lc6nQc0VhWFYFbNv016xze8Jvy.jpg,2003-05-30,940335536,100,False,Released,There are 3.7 trillion fish in the ocean. They're looking for one.,Finding Nemo,False,7.817,20484,G
False,/sdwjQEM869JFwMytTmvr6ggvaUl.jpg,3000000,,670,tt0364569,ko,올드보이,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",17.2289,/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,2003-11-21,17500000,120,False,Released,"15 years of imprisonment, five days of vengeance.",Oldboy,False,8.239,9793,R
False,/iffzIhuLAO38Po6sh1s6ZEVwlNL.jpg,30000000,http://www.miramax.com/movie/kill-bill-volume-1,24,tt0266697,en,Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",12.1658,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,2003-10-10,180906076,111,False,Released,Here comes the bride.,Kill Bill: Vol. 1,False,7.97,18852,R
False,/sZhY0BAsN1bMAPLIqMRqG1fqb3A.jpg,128000000,http://movies.disney.com/brother-bear,10009,tt0328880,en,Brother Bear,"When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife, including the lovable bear cub Koda, hilarious moose Rutt and Tuke, woolly mammoths and rambunctious rams.",12.13,/otptPbEY0vBostmo95xwiiumMJm.jpg,2003-10-23,250397798,85,False,Released,"See through another’s eyes, feel through another's heart, and discover the meaning of brotherhood.",Brother Bear,False,7.272,5732,G
False,/vaRCS4CCFXcWz1j9GKd6rGLsQQ2.jpg,15000000,,1278,tt0309987,en,The Dreamers,"When Isabelle and Theo invite Matthew to stay with them, what begins as a casual friendship ripens into a sensual voyage of discovery and desire in which nothing is off limits and everything is possible.",11.771,/gBb7GGaFYPu7nEUYvC8G4LaJJN1.jpg,2003-10-10,15100000,115,False,Released,Together nothing is impossible. Together nothing is forbidden.,The Dreamers,False,7.179,3074,NC-17
False,/6Kn6qW3an3DkPl3MahWemTzrjCt.jpg,2800000,http://www.memoriesofmurder.com/,11423,tt0353969,ko,살인의 추억,"A sadistic serial rapist and murderer of young women terrorizes a small province in 1980s South Korea. To prevent further crimes, three increasingly desperate detectives with conflicting methods race against time to unravel the violent mind of the killer in a futile effort to solve the case.",11.299,/dsEoTJKM1s5OVDkS2P2JdoTxo4K.jpg,2003-04-25,26000000,131,False,Released,The worst of them will stay with you... forever.,Memories of Murder,False,8.056,4555,NR
False,/bjKTwVrzX2cflxRhvAlqvOdloTG.jpg,28000000,https://www.sonypictures.com/movies/identity,2832,tt0309698,en,Identity,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",11.244,/sYgimsiBywqVwJI8H4sETke8m7v.jpg,2003-04-25,90259536,90,False,Released,The secret lies within.,Identity,False,7.179,4325,R
