adult,backdrop_path,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,softcore,status,tagline,title,video,vote_average,vote_count,certification
False,/xi4Uy11TdACds3SXglrbbmaVd90.jpg,11000000,https://www.warnerbros.com/movies/next-friday,10471,tt0195945,en,Next Friday,A streetwise man flees South Central Los Angeles heading to the suburbs and his lottery-winner uncle and cousin to avoid a neighborhood thug with a grudge who has just escaped from prison. But trouble soon follows and the suburbs will never be the same.,3.8688,/dP4fYCGQZzg17ta7FvLwJVCwwt9.jpg,2000-01-12,59827328,98,False,Released,The suburbs make the hood look good.,Next Friday,False,6.485,643,R
False,/n92EzFFg2cMkJiEhnMfD5sKHSH3.jpg,80000000,http://movies.disney.com/fantasia-2000,49948,tt0120910,en,Fantasia 2000,"Blending lively music and brilliant animation, this sequel to the original 'Fantasia' restores 'The Sorcerer's Apprentice' and adds seven new shorts.",2.7805,/5rwAtUaKEK48CPUijVfVU0IPKPZ.jpg,2000-01-01,60655420,74,False,Released,,Fantasia 2000,False,6.973,1367,G
False,/fo7rpdHMn91shmoUWtkPQuLMZLO.jpg,0,,45438,tt0233600,cn,東京攻略,"When a private eye, a jilted bride and a mysterious stranger join forces to track down an elusive mobster, there's more than trouble in the air.",2.6773,/68qChq7E6qGV6eLlUnhlhGHDk7E.jpg,2000-01-28,0,118,False,Released,,Tokyo Raiders,False,5.558,77,NR
False,/frgkz9c6Kzn0en6tlwpR2C3vjkC.jpg,0,,41245,tt0247613,ko,박하사탕,"In the spring of 1999, a group of old friends gather to celebrate their 20 year reunion. Among the group is Yeong-ho, a cold, unhappy man, whose demeanor puts a damper on the festivities. The seriousness of Yeong-ho's depression becomes apparent when he climbs a railroad bridge and looks like he might jump. At this crucial moment, memories of seven crucial episodes from Yeong-ho's past flood his mind.",2.467,/jPP0gFDgdXRa1YgP8Cn8arzOHI3.jpg,2000-01-01,0,131,False,Released,A travel back in time to find a man's lost innocence.,Peppermint Candy,False,7.5,289,NR
False,,0,http://en.wikipedia.org/wiki/Annayya_(2000_film),240143,tt0239236,te,అన్నయ్య,"Rajaram (Chiranjeevi), owner of a fleet of lorries, meets Devi (Soundarya), a garment factory owner. After that acquaintance, she once seeks his help in dealing with two street ruffians, who were teasing her sisters, Lata (Chandini) and Geetha (Sishwa), and is shocked when the culprits turn out to be his brothers, Ravi (Ravi Teja) and Gopi (Venkat). Rajaram takes the incident lightly as the pranks of youngsters and is very lenient to them. With more such incidents, the two fall in love, with the brothers and sisters not far behind.  On his brothers' request, Rajaram approaches Devi for her sisters' hands in marriage to his brothers. But she curtly refuses her consent on grounds that the two are wayward drunkards. Rajaram reacts sharply to it and vows to get his brothers married to her sisters.  Since then on he is more exacting with his brothers and brings about a transformation in them. Devi agrees to their marriage.",1.9119,/nnlFk5IlqALE3zoLCRTeOVjquWo.jpg,2000-01-07,0,155,False,Released,,Annayya,False,6.0,6,NR
False,/riig6n6nLefJpB1g50IPimILNw2.jpg,3800000,,15319,tt0181960,ja,雨あがる,"A group of travelers is stranded in a small country inn when the river floods during heavy rains. As the bad weather continues, tensions rise amongst the trapped travelers.",1.8647,/5m7uLaFRcW6c4hqNC4bryNnfQGC.jpg,2000-01-22,0,91,False,Released,,After the Rain,False,7.313,99,NR
False,/przsU4aiGsdlDkCp5uV8kq8gbLe.jpg,90000000,,10384,tt0134983,en,Supernova,"Set in the 22nd century, when a battered salvage ship sends out a distress signal, the seasoned crew of the rescue hospital ship Nova-17 responds. What they find is a black hole--that threatens to destroy both ships--and a mysterious survivor whose body quickly mutates into a monstrous and deadly form.",1.8641,/AmHGUjhgXnOYRYrF2ZYMtzfwxPe.jpg,2000-01-14,14828081,91,False,Released,All hell is about to break loose.,Supernova,False,4.93,430,PG-13
False,/k9xK6hFmTURFGmeQGs8Ri0rWQhT.jpg,6000000,,9674,tt0235712,ja,リング０　バースデイ,"Taking place thirty years before the events of Ringu, Ringu 0 provides the shocking background story of how the girl on the video became a deadly, vengeful spirit.",1.7928,/nuhEWlaoMD00rTDCiYxdEc7d1tD.jpg,2000-01-22,11918069,99,False,Released,Discover the secret...,Ring 0,False,6.1,282,NR
False,/s6cgAveWCam2hYgdPhD3WbrjSBt.jpg,10000000,https://www.miramax.com/movie/crow-iii-salvation/,9456,tt0132910,en,The Crow: Salvation,"Alex Corvis, a man wrongly executed for the murder of his girlfriend, returns from the dead and sets out to find the real killer.",1.6642,/5JkLJ0HS1hGxZHok9pjBcLCpLuX.jpg,2000-01-23,0,101,False,Released,For vengeance. For justice. For love.,The Crow: Salvation,False,5.484,403,R
False,/3MjLpWQGIJj8YEtn8SRaui8zKir.jpg,0,,54986,tt0245837,ko,춘향뎐,"Once at a pagoda Mongryong Lee, a scion of a well-to-do family, meets Chunhyang, the young daughter of a courtesan and an aristocrat. Despite her low social standing she is smart and well-educated. The young people fall in love and think about marriage so that they could always be together. Mongryong is soon to go to the capital to take the state civil service exam. They part and in Chunhyang's life there appears the greedy and lustful Byun Hak-do, who tries to seduce her.",1.5313,/eFrFFk33vPVYdR4VHFqqXQYabK1.jpg,2000-01-29,0,136,False,Released,"Her spirit became inspiration, Her name became legend.",Chunhyang,False,6.598,41,NR
False,/mrhdbBV44O87ikOObJpIMuHoMNL.jpg,6000000,http://mydogskip.warnerbros.com/,17908,tt0156812,en,My Dog Skip,"A shy boy is unable to make friends in Yazoo City, Mississippi in 1942, until his parents give him a terrier puppy for his ninth birthday. The dog, which he names Skip, becomes well known and loved throughout the community and enriches the life of the boy, Willie, as he grows into manhood. Based on the best-selling Mississippi memoir by the late Willie Morris.",1.4926,/nnPv7RuSn6UaPjZussIFljZdWS8.jpg,2000-01-12,35547761,95,False,Released,Every family needs an optimist.,My Dog Skip,False,6.7,288,PG
False,/n4ChV0MskyVOzOMBO8V6xoi6Z94.jpg,5000000,,10213,tt0120695,en,From Dusk Till Dawn 3: The Hangman's Daughter,"Set one hundred years ago, outlaw Johnny Madrid, after narrowly escaping death, goes on the run with the hangman's sensuous daughter Esmeralda by his side.",1.4831,/io5lQ7VRJGBCg2kTJ6BRWRclqJE.jpg,2000-01-18,9617,94,False,Released,A Must-See Thrill Ride!,From Dusk Till Dawn 3: The Hangman's Daughter,False,4.914,390,R
False,/maXxt6GuXk67NTjtqlbo04xCtf3.jpg,0,,16987,tt0234000,hi,कहो ना प्यार है,"Sonia and Rohit love each other but Rohit is mysteriously killed. When Sonia moves to New Zealand, she meets Raj, Rohit's lookalike who helps her trace Rohit's killer.",1.4179,/alALytPcaZyQkzOjnRgHMSRv8fq.jpg,2000-01-14,0,172,False,Released,Believe In Love,Kaho Naa... Pyaar Hai,False,6.7,150,NR
False,/dUBHrBI9nC3PNYkKLF5NOE3aiuh.jpg,0,,97351,tt0222270,hi,फिर भी दिल है हिंदुस्तानी,Two rival reporters team up to help prove the innocence of a man set to be hanged for the murder of a politician.,1.395,/7VvNZVMbUcxwfdLZlUSZnKFYu0p.jpg,2000-01-21,588571,160,False,Released,"Love, laughter, and freedom.",Phir Bhi Dil Hai Hindustani,False,6.617,90,NR
False,/rdlnxa0mXJf38UdAuXEy0Tgl4cb.jpg,0,,68820,tt0233910,ja,ISOLA 多重人格少女,"When a woman, able to read the thoughts of others, comes to help survivors of the 1995 Kobe earthquake, she encounters a girl with Multiple Personality Disorder whose dangerous 13th personality, Isola, must be stopped",1.3925,/8RB1hnwqNnJnRTC25Vht706QnJI.jpg,2000-01-22,0,94,False,Released,,Isola: Multiple Personality Girl,False,5.2,24,NR
False,/bzSWQVkmL3cYVKRUQlfopMepkoR.jpg,0,,40390,tt0277289,cn,生死拳速,"Cheuk is a mainland security officer who's thrown into a race against the clock when he discovers a man is holding an entire school hostage in exchange for his adopted son, so it's up to Cheuk to use his formidable martial arts skills to retrieve the boy and bring him back before the man decides to kill everyone.",1.2807,/vCEvxrMmvVSgoA2DvNxrnEcW1SK.jpg,2000-01-21,0,90,False,Released,,Fist Power,False,6.125,8,NR
False,,0,,403645,tt0253842,cn,陰陽路柒之撞到正,"A film crew travels to the Hong Kong countryside to make an 'MTV' show. During their stay at the village, the crew hears eerie and horrific voices during the night and witnesses a phantom roaming around the premises. In addition, some feel that their feet were being tickled while in the water performing. The villagers attest that their territory is not haunted, but an old villager, familiar with the village's past, sheds light into the mystery.",1.1953,/uFzMHqgwmNhKLTfIalpCLrq6Ehg.jpg,2000-01-15,0,94,False,Released,,Troublesome Night 7,False,5.75,4,NR
False,/dt1OlGt5OXwGlkEUpbtgA7n8s46.jpg,0,,109051,tt0275538,cn,賭聖3：無名小子,"Nobody is a top gambler who falls for a blind model named Bitter. However, his buddy Chun sets him up and beats him, causing Nobody to lose his sight. Now, Nobody must seek revenge while managing his feelings for Bitter, who has regained her eyesight.",1.1204,/qKw5rSgiWJT0HRMEro2GjmsKyez.jpg,2000-01-26,0,97,False,Released,,My Name Is Nobody,False,5.667,9,NR
False,/sHnvSBVKjbkqTXFRgDbaBfGKIOL.jpg,0,,12490,tt0160611,en,Ordinary Decent Criminal,"Michael Lynch is a notorious criminal with two wives and a flair for showmanship. He's also a huge embarrassment to the local police, who are determined to bring him down once and for all.",1.1071,/jZiORaxALVDGoMUBau85E4CWB0d.jpg,2000-01-07,0,93,False,Released,Stealing Is The Best Revenge,Ordinary Decent Criminal,False,6.154,244,NR
False,/rojr0vsJSxcxaDmnPja4Adm5e4P.jpg,0,,45043,tt0208995,ko,거짓말,A Korean high school student and a married sculptor embark on a sexual odyssey soaked in sadomasochism and love.,1.1022,/tq7ow02nirK4UgBy84KPEA7P4DC.jpg,2000-01-08,0,112,False,Released,Tell me… lies.,Lies,False,5.717,30,NC-17
False,/mtyKhSQ6UrUGVlZxx4lCgXqpim5.jpg,9000000,,10472,tt0186975,en,Down to You,"College coeds in New York City, Al, the son of a celebrity chef, and Imogen, a talented artist, become smitten the second they lay eyes on one another at a bar. However, the road to happiness is not a smooth one. Outside forces, including a predatory porn star who wants to lure Al into her bed, threaten to pull apart the young lovers before their romance has a chance to really flourish.",1.0965,/pqEEtX4S8j2XqZ9JAD97fz2DPkV.jpg,2000-01-21,0,91,False,Released,A new comedy about giving first love a second chance.,Down to You,False,5.2,263,PG-13
False,,0,,313735,tt0315375,cn,賊公子,"Yau, Yeung, and Wong are professionals who steal expensive cars, using technology so advanced that even the police cannot get any clues. A covert detective, Raymond, is assigned to investigate the case. He successfully wins the trust of Yau and also falls in love with his sister. Yau, Yeung and Wong have a conflict of interest, and as a result, their latest operation fails after police close in. During the raid, Raymond makes a terrible mistake...",1.0911,/7yRzwCUdk9i6ijngblHLIrXNuAK.jpg,2000-01-20,0,84,False,Released,,Super Car Criminals,False,5.25,8,NR
False,/ghtYeRqTs9lMvqRwvPTsNPJfnnu.jpg,0,,176177,tt0215230,de,Verbotenes Verlangen - Ich liebe meinen Schüler,"(Television) melodrama about an established, happily married teacher who falls in love with one of her pupils and becomes pregnant by him.",1.0746,/uNkX3X1Ig3LQ50TlVBZt5PMRJL1.jpg,2000-01-18,0,93,False,Released,,Verbotenes Verlangen - Ich liebe meinen Schüler,False,5.125,8,NR
False,,0,,763108,tt0400817,ja,新選組,"Produced for Fuji TV in 2000, the film reinterprets the story of a special samurai force - the Shinsengumi - at the end of the Edo period.",1.0667,/vYwQJK8nikoeEpPDiW3DEp1PC7m.jpg,2000-01-15,0,86,False,Released,,Shinsengumi,False,9.0,1,NR
False,/7GQH1qYmqu0llcYque6flDmSR55.jpg,10000000,,2360,tt0195234,en,Saving Grace,"Unexpectedly widowed, prim and proper housewife Grace Trevethyn finds herself in dire financial straits when she inherits massive debts her late husband had been accruing for years. Faced with losing her house, she decides to use her talent for horticulture and hatches a plan to grow potent marijuana which can be sold at an astronomical price, thus solving her financial crisis.",1.0495,/ml8XwUomPfisNsKmluP8TIZOR89.jpg,2000-01-24,26330482,93,False,Released,,Saving Grace,False,6.529,437,R
False,/tBiNdJtJdYwu8IQvkbrGZ6NMTnX.jpg,0,,68954,tt0192263,en,Longitude,Parallel stories: 18th century Harrison builds the marine chronometer for safe navigation at sea; 20th century Gould is obsessed with restoring it.,1.0465,/n0pNsQ2JiUoEI40v6zbA6yf9KfC.jpg,2000-01-02,0,198,False,Released,,Longitude,False,7.414,35,PG-13
False,/vFTLP1tjPuNxXROi96PAjbX7P84.jpg,0,,259326,tt0256087,cn,辣椒教室,"Mr. Au is a new homeroom teacher of Form 5E, a class that has the lowest class average and is well known for its trouble-making trait in school.  Recognizing such notorious reputation, he uses his extraordinary method to teach and care for the students.  Although he is pinpointed by other teachers, he eventually wins the support of Miss Lam, who is the daughter of the principal, and the students of Form 5E.",1.0451,/9e1Vl0UqkDJ28XfhNYX16gc79Ut.jpg,2000-01-06,0,109,False,Released,,I.Q. Dudettes,False,6.5,2,NR
