adult,backdrop_path,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,softcore,status,tagline,title,video,vote_average,vote_count,certification
False,/a0lfia8tk8ifkrve0Tn8wkISUvs.jpg,93000000,http://www.lordoftherings.net/,120,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",29.89,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,2001-12-18,871368364,179,False,Released,One ring to rule them all.,The Lord of the Rings: The Fellowship of the Ring,False,8.433,27439,PG-13
False,/dyJvKsNs2KP8qQnAXbRwDjblViy.jpg,19000000,https://gkids.com/films/spirited-away,129,tt0245429,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",29.0827,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-07-20,274925095,125,False,Released,Beyond the tunnel was a mysterious town.,Spirited Away,False,8.533,18246,PG
False,/40Wtp7kMG6mZ4d5T1jfrd8qrvD4.jpg,60000000,http://www.dreamworksanimation.com/shrek/,808,tt0126029,en,Shrek,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",26.1816,/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg,2001-05-18,488977919,90,False,Released,The greatest fairy tale never told.,Shrek,False,7.759,18660,PG
False,/1XAC6RPT01UX9EQGy2JVn5c8pgy.jpg,125000000,https://www.warnerbros.com/movies/harry-potter-and-sorcerers-stone,671,tt0241527,en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",25.7901,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,2001-11-16,976475550,152,False,Released,Let the magic begin.,Harry Potter and the Philosopher's Stone,False,7.898,29468,PG
False,/sDTnMOJ3H5wI38OxObmCtK7wfd5.jpg,115000000,http://movies.disney.com/monsters-inc,585,tt0198781,en,"Monsters, Inc.","Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",19.9721,/wFSpyMsp7H0ttERbxY7Trlv8xry.jpg,2001-11-01,579700000,92,False,Released,It's nothing personal. It's just their job.,"Monsters, Inc.",False,7.848,19695,G
False,/lMRX4cLx4hxYth3iQ96c0E1RHGB.jpg,10000005,,11770,tt0286112,cn,少林足球,A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,13.2252,/z6ZQqwoxWy9muIxwUP4K2zWw7BU.jpg,2001-07-05,42776760,113,False,Released,Get ready to kick some grass!,Shaolin Soccer,False,7.152,2509,PG
False,/7s7WkAFPBsMTprYMbqbgKoppQsR.jpg,98000000,,1734,tt0209163,en,The Mummy Returns,"Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army.",11.896,/kdJsW7hcy1lrj7tdMPycTAQPAiR.jpg,2001-05-04,443280904,130,False,Released,Adventure is reborn.,The Mummy Returns,False,6.399,7632,PG-13
False,/vPJwn9pp5f58CqdaXU3eOSLoJkl.jpg,90000000,,5175,tt0266915,en,Rush Hour 2,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.",11.8099,/aBQf2vMiCINeVC9v6BGVYKXurTh.jpg,2001-08-03,347325802,90,False,Released,Get ready for a second Rush!,Rush Hour 2,False,6.758,4567,PG-13
False,/ncoqdHs1poUaBqyKic9YI8ai7MP.jpg,85000000,http://www.warnerbros.co.uk/movies/oceans-eleven,161,tt0240772,en,Ocean's Eleven,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",11.2786,/hQQCdZrsHtZyR6NbKH2YyCqd2fR.jpg,2001-12-07,450717150,116,False,Released,Are you in or out?,Ocean's Eleven,False,7.458,12492,PG-13
False,/o6f1sJ0ZYg6TA2tMgoHdupB68QB.jpg,92000000,,855,tt0265086,en,Black Hawk Down,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",10.9967,/7fU5dSqKRL4XHeEUz62rCKBfYok.jpg,2001-12-28,172989651,145,False,Released,Leave no man behind.,Black Hawk Down,False,7.392,6330,R
